flight_id,subseq_id,window_idx,t_end,err_Latitude,err_Longitude,err_AltB,err_BaroA,err_OAT,err_GndSpd,err_VSpd,err_Pitch,err_Roll,err_LatAc,err_NormAc,err_HDG,err_TRK,err_volt1,err_volt2,err_amp1,err_amp2,err_FQtyL,err_FQtyR,err_E1_FFlow,err_E1_OilT,err_E1_OilP,err_E1_RPM,err_E1_CHT2,err_E1_CHT4,err_E1_EGT2,err_E1_EGT4,err_TAS,err_CRS,err_NAV1,err_NAV2,err_COM1,err_COM2,err_MagVar,err_VSpdG,err_HAL,err_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3356,3355,0.0005041000000005624,-0.0005622999999985723,0.0,0.0,0.0,-0.3299999999999841,-92.08,0.06,-0.34,0.01,0.01,0.0,0.09999999999999432,0.0,0.0,0.0,-1.3645500000000002e-18,0.019999999999999574,0.0,-0.019999999999999574,0.0,-0.269999999999996,-8.099999999999909,0.0,-0.020000000000038654,-0.39000000000010004,-0.05999999999994543,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69999999999999,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3357,3356,0.00047710000000478203,-0.0005802999999957592,6.0,0.0,0.0,-0.37000000000000455,52.69,0.020000000000000018,-0.94,-0.02,-0.049999999999999996,-0.6999999999999886,-0.09999999999999432,0.0,0.0,0.0,-1.3645500000000002e-18,-0.07000000000000028,0.0,-0.020000000000000462,0.009999999999990905,-0.3200000000000074,-11.599999999999909,0.0,0.010000000000047748,0.049999999999954525,-0.35999999999989996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.899999999999977,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3358,3357,0.0004805999999959454,-0.0006288000000012062,8.0,0.0,0.0,-0.45000000000001705,114.11,0.16999999999999998,-0.8400000000000001,0.01,0.1,0.4000000000000057,-0.30000000000001137,0.0,0.0,0.0,-1.3645500000000002e-18,-0.09999999999999787,0.0,0.010000000000000675,0.0,-0.12000000000000455,-2.5,0.0,-0.03000000000002956,-0.4900000000000091,-0.6000000000001364,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.600000000000023,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3359,3358,0.00044219999999484116,-0.0006238999999936823,-2.0,0.0,0.0,-0.4399999999999977,-39.370000000000005,-0.16999999999999998,1.1500000000000001,0.03,-0.010000000000000002,0.0,-0.19999999999998863,0.0,0.0,0.0,-1.3645500000000002e-18,0.0,0.0,0.04999999999999982,0.0,0.29000000000000625,3.599999999999909,0.0,0.0,-0.9199999999998454,-0.049999999999954525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.5,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3360,3359,0.000526699999994662,-0.0006419000000050801,2.0,0.0,0.0,-0.28000000000000114,-100.69,-0.09000000000000002,-0.7300000000000002,-0.08,-0.06,-1.3000000000000114,0.0,0.0,0.0,0.0,-1.3645500000000002e-18,0.019999999999999574,0.0,0.04999999999999982,0.010000000000019327,-0.09000000000000341,-7.099999999999909,0.0,-0.009999999999990905,-0.7200000000000273,-0.6599999999998545,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000057,0.0,-0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3361,3360,0.0005150000000000432,-0.0006522000000046546,9.0,0.0,0.0,-0.4199999999999875,160.42,-0.13999999999999996,-1.7799999999999998,0.04,0.019999999999999997,0.700000000000017,-0.4000000000000057,0.0,0.0,0.0,-1.3645500000000002e-18,0.0,0.0,-0.13999999999999968,0.009999999999990905,-0.3299999999999983,4.199999999999818,0.0,0.0,-0.8099999999999454,-0.08000000000015461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.099999999999994,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3362,3361,0.0005109000000018682,-0.0005701999999985219,-5.0,0.0,0.0,-0.3100000000000023,-126.39999999999998,-0.13,0.5499999999999998,0.02,0.0,-0.20000000000001705,-0.4000000000000057,0.0,0.0,0.0,-1.3645500000000002e-18,0.0799999999999983,0.0,-0.03000000000000025,0.009999999999990905,0.060000000000002274,-6.699999999999818,0.0,0.0,-0.6600000000000819,0.19000000000005457,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.400000000000006,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3363,3362,0.000499200000000144,-0.0005653000000052089,2.0,0.0,0.0,-0.21999999999999886,-64.53000000000002,0.10999999999999999,1.04,-0.05,0.14,-1.5,-0.30000000000001137,0.0,0.0,0.0,-1.3645500000000002e-18,-0.05000000000000071,0.0,-0.040000000000000036,0.0,0.15000000000000568,-14.099999999999909,0.0,0.0,-0.9700000000000273,0.30999999999994543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.89999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3364,3363,0.000521800000001349,-0.0006061999999928958,0.0,0.0,0.0,-0.18999999999999773,-28.129999999999995,-0.5000000000000001,-1.4299999999999997,0.019999999999999997,-0.11,-0.9000000000000057,-0.5,0.0,0.0,0.0,-1.3645500000000002e-18,0.07000000000000028,0.0,0.03000000000000025,0.0,0.05999999999998806,-1.0,0.0,0.0,-0.7899999999999636,0.12000000000011823,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.799999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3365,3364,0.000517700000003174,-0.0006012999999995827,0.0,0.0,0.0,-0.040000000000020464,-32.4,-0.20999999999999996,1.46,-0.04,-0.09000000000000001,-1.1999999999999886,-0.39999999999997726,0.0,0.10000000000000142,0.0,-1.3645500000000002e-18,0.0,0.0,-0.020000000000000462,0.0,-0.10999999999999943,9.099999999999909,0.0,0.0,-0.6700000000000728,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.5,0.0,0.0
