flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,590,VSpd,0.590464137015208,VSpdG,0.28868581275361355,E1_RPM,0.031714779429267266,Roll,0.02325750491479816,HDG,0.019516787341089185
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,591,VSpd,0.826446794351559,VSpdG,0.0756502379439018,AltB,0.044877259797229944,E1_RPM,0.030772978146670214,TAS,0.006411037113889992
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,592,VSpd,0.771695290071327,VSpdG,0.07444006013549774,AltB,0.05726158471961367,E1_RPM,0.038174389813075776,TRK,0.009543597453268944
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,593,VSpd,0.6906823669405843,VSpdG,0.1707890178101194,AltB,0.05789458230851503,E1_RPM,0.033289384827392195,Roll,0.0209867860868367
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,594,VSpdG,0.3233564838141709,E1_RPM,0.30677410002881383,AltB,0.08291191892671051,E1_EGT2,0.06301305838429924,VSpd,0.05057627054529396
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,595,VSpd,0.728361069419826,VSpdG,0.13478689267783153,E1_RPM,0.07507118073195833,AltB,0.01706163198453563,HDG,0.01535546878608168
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,596,VSpd,0.8392903331208892,E1_RPM,0.05315328265490114,AltB,0.0354355217699341,VSpdG,0.0354355217699341,TAS,0.008858880442483525
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,597,VSpd,0.45666264737761547,VSpdG,0.38552970230452677,E1_RPM,0.07384794297664372,Roll,0.024217781299692803,AltB,0.021719983228424042
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,598,VSpdG,0.6975683606583968,VSpd,0.15739500194010572,AltB,0.039299625952585744,Roll,0.02692024377752123,E1_EGT4,0.014737359732219653
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,599,VSpd,0.6833011118387842,VSpdG,0.19007433096882748,AltB,0.048323982449701854,Roll,0.018846353155383726,TAS,0.01610799414990062
