file,window_idx,prototype_id,nearest_dist,top3_sensors,viol_count_AltMSL,viol_sev_AltMSL,viol_count_E1 RPM,viol_sev_E1 RPM,viol_count_E1 FFlow,viol_sev_E1 FFlow,viol_count_E1 CHT1,viol_sev_E1 CHT1,viol_count_E1 EGT1,viol_sev_E1 EGT1,viol_count_NormAc,viol_sev_NormAc,viol_count_IAS,viol_sev_IAS
window_7750.csv,7750,4,61.95195700357407,"AltMSL, E1 FFlow, E1 CHT1",30,30594312123.588867,30,226296634.37635288,30,5329633598.420569,30,4232046135.4183674,30,3329434827.610814,28,8991665180.380264,30,3290479060.068587
window_7775.csv,7775,4,59.58145555669546,"AltMSL, NormAc, E1 FFlow",30,30515659093.927055,30,157965436.38945034,30,4814179395.115367,30,4525225617.164004,30,3633346159.9412694,30,6490367431.838303,30,3427539185.6636634
window_7800.csv,7800,4,60.01054475623856,"AltMSL, E1 FFlow, E1 CHT1",30,30364512165.067863,30,169659511.8836991,30,4844753544.893811,30,4530965409.021864,30,3702156438.894471,28,7458100102.946284,30,3283245928.8458576
window_7825.csv,7825,4,60.295405946716464,"AltMSL, NormAc, E1 FFlow",30,30375407926.49702,30,121554530.29476348,30,4777904457.303998,30,4415588972.686995,30,3744409640.706045,30,8449159419.343645,30,3016420646.9607906
window_7850.csv,7850,4,60.167676209695514,"AltMSL, E1 FFlow, E1 CHT1",30,30392230387.263535,30,151697418.92673734,30,4467085711.700426,30,4235544714.0695825,30,3904101887.6924763,28,7973793797.292134,30,2770831861.0352836
window_7875.csv,7875,4,63.38492387345828,"AltMSL, E1 FFlow, E1 EGT1",30,31074665100.382084,30,215948459.998287,30,4977569190.948387,30,3982043599.3849998,30,4019786726.3929553,29,10033144854.470846,30,3639230504.5981894
window_7900.csv,7900,4,65.11500040127659,"AltMSL, E1 FFlow, IAS",30,30800909797.7804,30,268435128.72246256,30,6272040353.287537,30,3876757563.619709,30,3907807684.05355,26,11181666184.553148,30,5085817940.002683
window_7925.csv,7925,4,62.930435303926494,"AltMSL, NormAc, E1 FFlow",30,30317775417.17958,30,342719852.963163,30,6186586983.5981245,30,4199525572.813447,30,3486350149.154054,30,10822422903.206936,30,4370049707.98838
window_7950.csv,7950,4,59.20316936302756,"AltMSL, E1 FFlow, E1 CHT1",30,29942073633.036533,30,127851022.87386514,30,5221234734.299774,30,4672455612.375521,30,3427634776.24863,26,6348743263.507322,30,4020180992.6366405
window_7975.csv,7975,4,61.89612418041237,"AltMSL, E1 FFlow, E1 CHT1",30,30270462022.42582,30,218066388.7794253,30,5230347660.901097,30,4909388878.024557,30,3530925605.2748485,29,8959826990.37177,30,3571955086.062684
window_800.csv,800,3,6.487080643885449,"E1 CHT1, E1 EGT1, E1 FFlow",2,13.070165796172349,8,21.56767018061731,10,27.018638072950093,30,281.6888401121176,27,65.1242430142336,3,12.331671588738137,0,7.771561172376096e-08
window_8000.csv,8000,4,62.079935279564744,"AltMSL, NormAc, E1 FFlow",30,30703079923.850193,30,124516871.78708713,30,5199447005.244898,30,4935663913.196833,30,3567882919.07103,30,9306166050.372543,30,3879780292.7212195
