flight_id,subseq_id,window_idx,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z,top4_feature,top4_z,top5_feature,top5_z
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1126,mae_Longitude,1.6092998676265524,mae_FQtyR,1.215145857161989,mae_VSpdG,0.7929935188087923,mae_GndSpd,0.7790540486536353,mae_AltB,0.7635773216646559
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1127,mae_VSpd,3.167877019505623,mae_LatAc,2.1001832974903376,mae_AltB,2.0631053553838004,mae_Longitude,1.5046461354902334,mae_FQtyL,1.3749837072525124
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1128,mae_E1_CHT4,2.6200560902828185,mae_VSpdG,1.597503072167999,mae_E1_CHT2,1.4842335163081228,mae_Longitude,1.4031914258028255,mae_VSpd,0.8496475320817746
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1129,mae_Longitude,1.6051868389028328,mae_NormAc,1.3355902660947963,mae_FQtyR,1.215145857161989,mae_E1_OilT,0.8813340097209938,mae_HPLfd,0.7970136508981372
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1130,mae_NormAc,5.000858189580515,mae_Roll,3.177696326903902,mae_Pitch,2.7254934293367423,mae_VSpdG,1.8862015066167344,mae_Longitude,1.5151572090468306
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1131,mae_VSpdG,1.8862015066167344,mae_Roll,1.611057936615477,mae_Longitude,1.6015308132840456,mae_Pitch,0.9314101980341037,mae_FQtyL,0.8412522432545534
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1132,mae_Roll,3.520398474779494,mae_NormAc,3.0809559439451384,mae_LatAc,2.5970909762009935,mae_Longitude,1.5540024808243083,mae_FQtyR,1.21514585716189
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1133,mae_NormAc,4.651785054010446,mae_VSpdG,1.81264776535591,mae_Longitude,1.6586562128956832,mae_FQtyL,1.3749837072525124,mae_Pitch,1.2603254571062552
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1134,mae_FQtyL,2.2645361472490904,mae_E1_CHT4,2.1219693850757344,mae_VSpdG,1.8862015066167344,mae_FQtyR,1.7815466778906686,mae_NormAc,1.6846634016648652
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1135,mae_FQtyR,3.197548729712664,mae_Longitude,1.6714523024315502,mae_LatAc,1.1063679400690263,mae_E1_OilT,0.8813340097209938,mae_HPLfd,0.7970136508981372
