file,window_idx,start_idx,cluster_id,nearest_dist
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,150,3750,2,1449.9184613632965
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,151,3775,2,1410.3837599306178
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,152,3800,2,1438.8820838706552
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,153,3825,2,1464.142880397322
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,154,3850,2,1468.491903792937
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,155,3875,2,1197.3216618234674
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,156,3900,2,1291.4082333642252
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,157,3925,2,1571.8685276821534
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,158,3950,2,1590.6750276036353
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,159,3975,2,1595.3218952373318
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,160,4000,2,1576.166965956392
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,161,4025,2,1480.4978229516055
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,162,4050,2,1423.0256952247423
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,163,4075,2,1420.662944819028
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,164,4100,2,1478.0794582475467
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,165,4125,2,1194.5326745599584
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,166,4150,2,1325.8826892113507
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,167,4175,2,1580.2173247835403
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,168,4200,2,1592.3223039553222
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,169,4225,2,1605.527926373261
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,170,4250,2,1573.66826386433
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,171,4275,2,1561.3596638491035
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,172,4300,2,1556.0259231356665
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,173,4325,2,1558.054988353532
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,174,4350,2,1562.6092700359995
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,175,4375,2,1560.9183513151124
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,176,4400,2,1563.8057837080285
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,177,4425,2,1560.3452218277573
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,178,4450,2,1548.324423858859
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,179,4475,2,1511.5117823939227
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,180,4500,2,1436.374628058856
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,181,4525,2,1466.7032935885036
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,182,4550,2,1495.8808262805428
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,183,4575,2,1501.0668768850217
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,184,4600,2,1521.483127779487
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,185,4625,2,1489.8820106525582
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,186,4650,2,1174.8153712557923
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,187,4675,2,1516.6718236087838
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,188,4700,2,1587.9541104432276
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,189,4725,2,1592.1932054300091
