window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_8900,exact_data/anomaly/window_8900.csv,0.6114653125368564,AltMSL__min,2.0586062549155404,AltMSL__mean,2.0305972588052366,AltMSL__max,1.994932167598553
window_11100,exact_data/anomaly/window_11100.csv,0.6112426688131447,E1 CHT1__mean,1.9779322450191763,E1 CHT1__max,1.959368298310109,E1 CHT1__min,1.840602984598343
window_3100,exact_data/anomaly/window_3100.csv,0.6111754955891057,AltMSL__mean,2.3655700012313114,AltMSL__max,2.348512839467815,AltMSL__min,2.3408585461125053
window_22550,exact_data/anomaly/window_22550.csv,0.6100381546418422,NormAc__mean,2.2268749730724218,AltMSL__mean,1.0994844222825568,AltMSL__max,1.0989402433570508
window_7750,exact_data/anomaly/window_7750.csv,0.6098442899192831,AltMSL__min,2.061738436709404,AltMSL__mean,2.026464534987998,AltMSL__max,1.981444268991197
window_16625,exact_data/anomaly/window_16625.csv,0.6091944121560444,E1 FFlow__min,2.2278161987890956,E1 FFlow__mean,2.017003580368801,AltMSL__std,1.719552375874077
window_8975,exact_data/anomaly/window_8975.csv,0.6077600667344797,AltMSL__min,2.0880060522079353,AltMSL__mean,2.0489759471131164,AltMSL__max,2.0130808060388166
window_3825,exact_data/anomaly/window_3825.csv,0.6045537791712347,AltMSL__max,1.5424167001852847,AltMSL__min,1.5234302838641456,AltMSL__mean,1.5225983104093967
window_8375,exact_data/anomaly/window_8375.csv,0.6040928398165281,AltMSL__min,2.051274102079907,AltMSL__mean,2.006571223485807,AltMSL__max,1.9591292116093948
window_21600,exact_data/anomaly/window_21600.csv,0.6025854464673132,E1 EGT1__min,1.0859646543754233,E1 EGT1__mean,1.0741758434355162,IAS__min,1.0704186909045883
window_18075,exact_data/anomaly/window_18075.csv,0.601934998067511,E1 FFlow__min,2.2278161987890956,E1 FFlow__mean,2.041815192727443,E1 FFlow__max,1.718374336470325
window_18600,exact_data/anomaly/window_18600.csv,0.601045361184436,E1 FFlow__min,2.245587514843728,E1 FFlow__mean,2.026540016411408,E1 FFlow__max,1.6899139921336515
