file,cluster_id,nearest_dist,viol_count_total,viol_sev_total
window_16500.csv,13,6.07553537629872,7,17.92901128805891
window_16525.csv,13,9.488494212621704,9,34.62032353663325
window_16550.csv,14,6.017871319089177,7,18.52362353124636
window_16575.csv,14,5.125170281841315,9,16.871470589040868
window_16600.csv,11,12.009015918286057,11,40.50033658243887
window_16625.csv,1,10.802179827918811,4,11.713374380072032
window_16650.csv,1,8.061962177337712,4,12.841137743099608
window_16675.csv,12,5.63724965807628,11,28.958462024384833
window_16700.csv,13,3.340126624610623,2,10.94187628019404
window_16725.csv,13,3.643925333690708,4,11.656007502974502
window_1675.csv,2,9.532271577254846,12,37.64093742703906
window_16750.csv,13,4.509547686908082,5,15.182869237751314
window_16775.csv,10,4.752244165885677,8,18.90745457446076
window_16800.csv,10,5.109056460738553,7,18.625885399078825
window_16825.csv,10,5.251653795827593,8,17.126795127742845
window_16850.csv,14,7.219747209050578,8,23.564694041061923
window_16875.csv,14,6.475861529598966,8,18.96717051938197
window_16900.csv,11,4.870304278658205,7,15.595528464758932
window_16925.csv,11,2.6840397541239973,1,8.65708654447382
window_16950.csv,11,8.535970743265924,10,26.34567402827184
window_16975.csv,11,15.467017247529354,13,48.116056147664494
window_1700.csv,2,8.699962349057628,12,32.33541317611375
window_17000.csv,1,12.701702320440145,5,13.104429947295634
window_17025.csv,1,9.01603759392043,4,12.85105346515261
window_17050.csv,12,5.2534073648969315,10,30.56818755109295
window_17075.csv,13,4.445682904244879,3,14.680147677356295
window_17100.csv,13,4.895379809993364,7,15.93320910657869
window_17125.csv,13,4.750414055094479,5,15.36654273434191
window_17150.csv,10,5.941885282918598,11,25.140719362148083
window_17175.csv,14,7.318586182361078,8,23.085384227835902
window_17200.csv,14,7.021169338496798,9,24.31573268610487
window_17225.csv,14,5.151616910976758,7,14.750266966672482
window_1725.csv,2,8.179263635342947,7,24.199421392959252
window_17250.csv,11,4.310693812675071,6,15.83513045224102
window_17275.csv,0,9.166272514545994,7,16.52036443433783
window_17300.csv,11,15.571758383501273,11,43.496440639057376
window_17325.csv,1,12.617558743348082,4,11.246881926503503
window_17350.csv,1,8.437084036676177,2,9.718692969658186
window_17375.csv,12,5.771365759351908,9,27.634989529826864
window_17400.csv,13,4.140836667636444,4,11.075950919437688
window_17425.csv,13,3.7623980561383568,4,11.481918738211744
window_17450.csv,13,3.929056229744393,3,13.737351402875731
window_17475.csv,10,5.574135007125966,10,21.860387927105876
window_1750.csv,3,6.489989845274174,5,12.847077078525764
window_17500.csv,10,5.156706692319353,7,16.507053464928642
window_17550.csv,10,4.325331172544274,6,18.094557894010222
window_17575.csv,10,4.6576311989724735,9,18.092561533092056
window_17600.csv,10,5.204821676206038,10,18.954357917908577
window_17625.csv,10,5.585530906685754,10,22.477506382623663
window_17650.csv,14,7.681103673375189,9,24.83782503385387
window_17675.csv,14,6.843345409521753,10,24.37658823052042
window_17700.csv,14,4.723651113386909,5,13.99047974442826
window_17725.csv,11,2.0401584187731014,0,7.170328060345833
window_1775.csv,3,4.647786873549897,3,9.926700188155552
window_17750.csv,11,2.1637801572592257,0,8.260255868938058
window_17775.csv,14,6.555256778360024,6,19.10983042496631
window_17800.csv,11,15.031302749966065,14,50.824678676998595
window_17825.csv,1,12.410800317985611,6,12.334779487348785
window_17850.csv,1,9.506267532688211,3,12.96772052250973
window_17875.csv,1,5.19702555890193,0,6.480043463688591
window_17900.csv,12,3.486046719441985,8,20.808786328536296
window_17925.csv,13,6.7442249911590615,9,19.595028412420163
window_17950.csv,13,7.47085320777477,4,27.698174547005497
window_17975.csv,14,6.568364560354317,7,17.63736691810668
window_1800.csv,3,4.864190196166435,5,14.649252968711938
window_18000.csv,14,4.44818903948243,6,14.14318049536807
window_18025.csv,14,7.359067937498042,10,22.38640594241972
window_18050.csv,11,15.4843448893368,13,52.95642287456048
window_18075.csv,1,11.217139949637648,4,9.666458882231778
window_18100.csv,1,7.848925418059734,0,6.5023953120572875
window_18125.csv,1,6.119370161163213,4,11.953602277183586
window_18150.csv,13,3.273499019013723,3,8.764673699428956
window_18175.csv,13,3.623749102351025,3,9.876895506492854
window_18200.csv,13,4.915499559017162,6,13.334303681627976
window_18225.csv,10,6.658581145299027,10,25.33626022913648
window_1825.csv,3,8.204829052878985,8,32.17153581938145
window_18250.csv,10,4.29005927425573,5,14.548043548944886
window_18275.csv,10,5.9470576210830535,12,25.789893279072228
window_18300.csv,10,4.829208928350174,8,19.074617938258186
window_18325.csv,10,4.143909039163897,6,16.507355686406076
window_18350.csv,10,5.1882874730441655,7,22.460938142977547
window_18375.csv,10,5.9393028731097015,8,23.22430779233202
window_18400.csv,14,6.449189377087723,9,20.30039093905849
window_18425.csv,14,4.858352354372033,7,16.254082478255157
window_18450.csv,14,3.3067331173125227,4,9.860983118531705
window_18475.csv,14,3.193141292499083,2,8.354261897624237
window_1850.csv,3,7.088587816508823,6,22.695611384928824
window_18500.csv,14,2.9807158823726576,1,7.417675697894773
window_18525.csv,14,2.0010275346044035,2,6.396235781478097
window_18550.csv,14,7.486471180905439,7,21.27047329517935
window_18575.csv,14,14.462885214163444,9,28.36087208322664
